source_url	parsed_url
http://microsoft.com	https://developer.microsoft.com/ru-ru/windows
http://microsoft.com	https://www.microsoft.com/enterprise/retail-consumer-goods
http://microsoft.com	https://azure.microsoft.com/ru-ru/community/education/
http://microsoft.com	https://www.microsoft.com/ru-ru/windows/
http://microsoft.com	https://www.microsoft.com/microsoft-365/microsoft-office
http://microsoft.com	https://www.microsoft.com/ru-ru/store/games/windows?icid=TopNavWindowsGames
http://microsoft.com	https://azure.microsoft.com/ru-ru/
http://microsoft.com	https://www.microsoft.com/ru-ru
http://microsoft.com	https://www.onenote.com/?omkt=ru-RU
http://microsoft.com	https://www.microsoft.com/enterprise/financial-services/banking-and-capital-markets
http://microsoft.com	https://support.microsoft.com/ru-ru/contactus
http://microsoft.com	https://www.microsoft.com/ru-ru/windows/windows-10-apps
http://microsoft.com	https://onedrive.live.com/about/ru-ru/
http://microsoft.com	https://www.microsoft.com/enterprise/manufacturing
http://microsoft.com	https://www.microsoft.com/ru-ru/download
http://microsoft.com	https://account.microsoft.com/orders
http://microsoft.com	https://twitter.com/RusMicrosoft
http://microsoft.com	https://microsoftwindows.112.2o7.net
http://microsoft.com	https://www.youtube.com/user/rumicrosoft
http://microsoft.com	https://news.microsoft.com/ru-ru
http://microsoft.com	https://www.microsoft.com/ru-ru/about
http://microsoft.com	https://go.microsoft.com/fwlink/?LinkID=808093
http://microsoft.com	https://www.microsoft.com/en-us/locale.aspx?absoluteReturnUrl=https%3a%2f%2fwww.microsoft.com%2fru-ru%2f
http://microsoft.com	https://account.microsoft.com/
http://microsoft.com	https://www.microsoft.com/ru-ru/education/remote-learning?icid=mscom_marcom
http://microsoft.com	https://www.microsoft.com/ru-ru/edge?form=MI13F3&amp;OCID=MI13F3
http://microsoft.com	https://www.microsoft.com/ru-ru/education
http://microsoft.com	https://visualstudio.microsoft.com/
http://microsoft.com	https://go.microsoft.com/fwlink/p/?LinkID=824761&amp;clcid=0x419
http://microsoft.com	https://www.microsoft.com/ru-ru/store/b/xbox?icid=CNavDevicesXbox
http://microsoft.com	https://www.xbox.com/ru-ru/xbox-one/consoles#shop-xbox-one-x
http://microsoft.com	https://www.microsoft.com/ru-ru/sql-server/ 
http://microsoft.com	https://technet.microsoft.com/ru-ru
http://microsoft.com	https://www.microsoft.com/microsoft-365/business/all-business
http://microsoft.com	https://www.microsoft.com/ru-ru/windows/devices
http://microsoft.com	https://www.microsoft.com/ru-ru/sitemap.aspx
http://microsoft.com	https://assets.onestore.ms
http://microsoft.com	https://aka.ms/MCOMcampaignMarch2019
http://microsoft.com	https://privacy.microsoft.com/ru-ru
http://microsoft.com	https://careers.microsoft.com/
http://microsoft.com	https://www.microsoft.com/mwf/_h/v3.54/mwf.app/fonts/mwfmdl2-v3.54.woff2
http://microsoft.com	https://www.facebook.com/mstrend
http://microsoft.com	https://support.microsoft.com/ru-ru
http://microsoft.com	https://www.microsoft.com/ru-ru/store/apps/windows?icid=CNavAppsWindowsApps
http://microsoft.com	https://www.microsoft.com/trademarks
http://microsoft.com	https://www.microsoft.com/ru-ru/store/buy
http://microsoft.com	https://go.microsoft.com/fwlink/?LinkId=521839
http://microsoft.com	https://www.microsoft.com/ru-ru/download/default.aspx
http://microsoft.com	https://www.microsoft.com/ru-ru/dynamics365/home
http://microsoft.com	https://go.microsoft.com/fwlink/p/?LinkID=824764&amp;clcid=0x419
